,Actual Pickup Time,Booking ID,Pickup ID,Dropoff ID,Actual Dropoff Time,Pickup Latitude,Pickup Longitude,Dropoff Latitude,Dropoff Longitude,name,district,Passenger status,Rounded Pickup Time,Pickup Date,Pickup Hour
73,2024-09-02 08:31:00,253231,50,29,2024-09-02 08:42:00,48.976827,11.559612,49.035103,11.474083,"Wolfsbuch, Fuchsengasse",Wolfsbuch,Trip completed,2024-09-02 08:00:00,2024-09-02,8
74,2024-09-02 08:55:00,247604,40,19,2024-09-02 09:11:00,48.994215,11.461103,49.033832,11.471982,"Irfersdorf, Am Kirchplatz",Irfersdorf,Trip completed,2024-09-02 08:00:00,2024-09-02,8
75,2024-09-02 09:11:00,254335,19,4,2024-09-02 09:43:00,49.033832,11.471982,49.000562,11.38279,"Beilngries, Ringstrasse",Beilngries,Cancelled,2024-09-02 09:00:00,2024-09-02,9
76,2024-09-02 09:18:00,253718,11,25,2024-09-02 09:27:00,49.004607,11.447705,49.038975,11.480128,"Kratzmuehle, Seerestaurant",Pfraundorf,Trip completed,2024-09-02 09:00:00,2024-09-02,9
77,2024-09-02 09:43:00,253469,1,4,2024-09-02 09:45:00,48.992498,11.363953,49.000562,11.38279,"Enkering, Maibaum",Enkering,Cancelled,2024-09-02 09:00:00,2024-09-02,9
78,2024-09-02 10:20:00,254465,29,5,2024-09-02 10:32:00,49.035103,11.474083,49.000012,11.38727,"Beilngries, Rathaus",Beilngries,Cancelled,2024-09-02 10:00:00,2024-09-02,10
79,2024-09-02 10:33:00,252598,0,36,2024-09-02 10:58:00,48.992168,11.377365,49.013625,11.502735,"Kinding, Bahnhof",Kinding,Trip completed,2024-09-02 10:00:00,2024-09-02,10
80,2024-09-02 10:48:00,252994,19,0,2024-09-02 11:14:00,49.033832,11.471982,48.992168,11.377365,"Beilngries, Ringstrasse",Beilngries,Cancelled,2024-09-02 10:00:00,2024-09-02,10
81,2024-09-02 10:54:00,253721,25,11,2024-09-02 11:08:00,49.038975,11.480128,49.004607,11.447705,"Beilngries, Ottmaringer Straße",Beilngries,Trip completed,2024-09-02 10:00:00,2024-09-02,10
82,2024-09-02 10:49:00,254152,19,62,2024-09-02 10:55:00,49.033832,11.471982,49.054378,11.463912,"Beilngries, Ringstrasse",Beilngries,Trip completed,2024-09-02 10:00:00,2024-09-02,10
83,2024-09-02 10:58:00,254449,30,0,2024-09-02 11:14:00,49.036378,11.470632,48.992168,11.377365,"Beilngries, Frauenkirche",Beilngries,Trip completed,2024-09-02 10:00:00,2024-09-02,10
84,2024-09-02 10:48:00,254028,19,0,2024-09-02 11:14:00,49.033832,11.471982,48.992168,11.377365,"Beilngries, Ringstrasse",Beilngries,Cancelled,2024-09-02 10:00:00,2024-09-02,10
